variety_name,w+1_raw_accuracy,w+2_raw_accuracy,w+3_raw_accuracy,w+4_raw_accuracy,w+1_raw_wape,w+2_raw_wape,w+3_raw_wape,w+4_raw_wape
Silver Shadow,1.4231959990473921,1.7149321266968325,3.32864967849488,1.9742795903786616,0.42319599904739225,0.7149321266968326,2.32864967849488,0.9742795903786616
Smashing,1.6429995569339833,1.9289986708019495,,1.4786220646876385,0.6429995569339831,0.9289986708019495,,0.47862206468763846
Snow Storm,0.8915142276422764,0.6675558943089431,1.0127032520325203,0.946900406504065,0.10848577235772358,0.3324441056910569,0.012703252032520325,0.05309959349593496
Snowflake,1.1212349397590362,1.5064006024096386,1.4936531841652323,1.0832078313253013,0.14296471600688468,0.5064006024096386,0.49365318416523235,0.1223644578313253
Snowy Blossoms,1.3131723027375202,2.5992270531400967,2.446892109500805,2.272270531400966,0.3458937198067633,1.5992270531400967,1.4468921095008052,1.2722705314009661
Sparkling Bubbles,1.0150134048257373,2.086327077747989,1.8193029490616621,1.2611260053619302,0.015013404825737266,1.0863270777479892,0.8193029490616622,0.2611260053619303
Summer Dance,1.1859208215106067,1.3386028915011485,3.8996081610593163,3.2683421159302797,0.18592082151060668,0.3386028915011485,2.8996081610593163,2.2683421159302797
Summer Rose,1.3018339796483658,0.9305187042598478,0.7968043852231974,0.6987491617342625,0.3018339796483657,0.1601014666005773,0.2092602851561361,0.40283406711957315
Summer Time,2.128630705394191,2.2686721991701244,4.8838174273858925,2.2313278008298756,1.1286307053941909,1.2686721991701244,3.883817427385892,1.2313278008298756
Sweet Gelato,1.2384536685179772,1.1194826074247297,1.5520315697164573,1.4071178018123356,0.2384536685179772,0.11948260742472962,0.5520315697164572,0.4071178018123356
Sweet Revival,0.7057383016744987,0.5452048447944934,1.5120788933748097,1.1328347342643457,0.29426169832550136,0.4547951552055067,0.8220927923754053,0.5159176649678999
Tarantella,1.1382780469623557,1.8661945583302273,1.786433097279165,1.4584420424897502,0.13827804696235557,0.8661945583302274,0.7864330972791651,0.4584420424897503
Trinity,1.014013709063214,0.8813404417364813,1.162071591774562,1.071896420411272,0.014013709063214013,0.11865955826351866,0.16207159177456207,0.0718964204112719
Uzuri,0.8072748606629511,0.509533587562335,1.3235552948078615,1.1457905544147844,0.192725139337049,0.490466412437665,0.32355529480786155,0.1457905544147844
Wedding Invite,1.0464668094218414,1.6197002141327623,1.7278372591006423,1.8361884368308352,0.04646680942184154,0.6197002141327623,0.7278372591006425,0.8361884368308351
